channel_name,channel_index,mean_attribution_score,std_attribution_score,median_attribution_score,normalized_importance,mean_rank,median_rank,top1_frequency,top3_frequency,top5_frequency,top10_frequency,top1_pct,top3_pct,final_rank
T7-P7,2,1.6146769523620603,1.0340169668197632,1.1442660093307495,0.0578670017421245,8.45,7.0,4,7,9,13,18.18,31.82,1
P3-O1,7,1.6469240188598633,1.40229594707489,1.1357909440994265,0.0590219981968402,8.59,8.5,0,4,6,17,0.0,18.18,2
P7-T7,18,1.5702890157699585,0.9418060183525084,1.2443840503692627,0.0562760010361671,8.77,9.0,0,6,9,15,0.0,27.27,3
T8-P8,22,1.598821997642517,1.0263750553131104,1.3236939907073977,0.0572980009019374,9.5,10.0,4,8,9,11,18.18,36.36,4
T8-P8,14,1.598821997642517,1.0263750553131104,1.3236939907073977,0.0572980009019374,9.5,9.5,0,6,9,11,0.0,27.27,5
P8-O2,15,1.5007359981536863,1.2465529441833496,1.071524977684021,0.0537829995155334,9.91,7.0,1,4,7,14,4.55,18.18,6
F7-T7,1,1.1708159446716309,0.5146380066871643,1.3165570497512815,0.0419600009918212,10.59,9.5,0,3,4,12,0.0,13.64,7
FT10-T8,21,1.441248059272766,1.1722739934921265,1.3090070486068726,0.0516510009765625,10.59,9.5,2,5,9,11,9.09,22.73,8
P7-O1,3,1.7941629886627195,1.8708759546279907,0.8344529867172241,0.064299002289772,10.64,13.0,4,5,8,10,18.18,22.73,9
T7-FT9,19,1.3486779928207395,0.8527290225028992,1.3402080535888672,0.0483339987695217,10.91,8.0,4,4,6,14,18.18,18.18,10
C3-P3,6,1.243278980255127,1.03826904296875,0.870074987411499,0.0445559993386268,11.64,10.0,1,3,5,12,4.55,13.64,11
C4-P4,10,1.073551058769226,0.592428982257843,0.970484972000122,0.0384740009903907,11.68,9.5,0,1,6,11,0.0,4.55,12
P4-O2,11,1.1454620361328125,0.9535700082778932,1.0081419944763184,0.0410510003566741,12.18,11.0,0,1,2,11,0.0,4.55,13
F8-T8,13,1.1397650241851809,0.9092280268669128,0.9188159704208374,0.0408469997346401,12.55,13.0,0,1,5,9,0.0,4.55,14
FP1-F7,0,0.9133780002593994,0.5027120113372803,0.8308280110359192,0.0327339991927146,12.91,13.5,0,1,2,5,0.0,4.55,15
F3-C3,5,0.9981759786605836,0.5892890095710754,0.8264790177345276,0.0357730016112327,13.09,13.0,0,1,4,10,0.0,4.55,16
F4-C4,9,0.853410005569458,0.3715769946575165,0.8018609881401062,0.0305840000510215,13.59,14.5,0,0,1,6,0.0,0.0,17
FP2-F8,12,0.8628140091896057,0.4775260090827942,0.772678017616272,0.0309209991246461,14.0,14.5,0,0,2,5,0.0,0.0,18
FT9-FT10,20,1.0069379806518557,1.0446879863739014,0.6632869839668274,0.0360869988799095,14.23,13.5,1,1,1,6,4.55,4.55,19
FZ-CZ,16,0.809503972530365,0.3772540092468261,0.7210350036621094,0.0290109999477863,15.14,14.5,0,1,1,5,0.0,4.55,20
CZ-PZ,17,1.0106699466705322,0.9100019931793212,0.6418219804763794,0.0362199991941452,15.27,18.0,0,2,3,7,0.0,9.09,21
FP1-F3,4,0.8469160199165344,0.5972499847412109,0.690155029296875,0.0303520001471042,15.32,16.0,1,1,1,3,4.55,4.55,22
FP2-F4,8,0.7143920063972473,0.4159420132637024,0.5930179953575134,0.0256019998341798,16.95,17.5,0,1,1,2,0.0,4.55,23
